2026-05-10 18:41:40 | INFO    | collect_alerts | Running OAuth browser flow (first-time setup).
2026-05-10 18:42:09 | INFO    | collect_alerts | Saved token to /Users/gayoungdan/job-engine-web/.credentials/gmail-token.json
2026-05-10 18:42:10 | INFO    | collect_alerts | Gmail query 'label:"JobAlerts/LinkedIn" newer_than:1d' → 6 messages
2026-05-10 18:42:11 | INFO    | collect_alerts | LinkedIn parser: extracted 6 jobs from email '“"Data Analyst" OR "Data Scientist"”: Rakuten Viki - Intern,'
2026-05-10 18:42:11 | INFO    | collect_alerts | LinkedIn parser: extracted 1 jobs from email '“"Data Scientist" OR "Machine…”: Maincode - AI Software Engi'
2026-05-10 18:42:12 | INFO    | collect_alerts | LinkedIn parser: extracted 4 jobs from email '“"Data Analyst" OR "Data Scientist"”: Shopee - Business Inte'
2026-05-10 18:42:13 | INFO    | collect_alerts | LinkedIn parser: extracted 6 jobs from email '“"Data Analyst" OR "Data Scientist"”: NielsenIQ - Data Scien'
2026-05-10 18:42:14 | INFO    | collect_alerts | LinkedIn parser: extracted 6 jobs from email '“"SQL Developer" OR "Data Engineer"…”: UCentric - Junior Dat'
2026-05-10 18:42:14 | INFO    | collect_alerts | LinkedIn parser: extracted 1 jobs from email '“"Data Scientist" OR "Machine…”: JANA Investment Advisers - '
2026-05-10 18:42:14 | INFO    | collect_alerts | LinkedIn total: 24 jobs from 6 emails
2026-05-10 18:42:14 | INFO    | collect_alerts | Gmail query 'label:"JobAlerts/Seek" newer_than:1d' → 1 messages
2026-05-10 18:42:15 | INFO    | collect_alerts | Seek parser: extracted 0 jobs from email 'Reporting Analyst + 11 new jobs'
2026-05-10 18:42:15 | INFO    | collect_alerts | Seek total: 0 jobs from 1 emails
2026-05-10 18:42:15 | INFO    | collect_alerts | Combined total (pre-dedup): 24 jobs
2026-05-10 18:42:15 | INFO    | collect_alerts | Combined total: 24 jobs
2026-05-10 18:42:15 | INFO    | collect_alerts | ✅ No truncation detected in this run.
2026-05-10 18:42:15 | INFO    | collect_alerts | Per-source breakdown: linkedin=24
2026-05-10 18:42:15 | INFO    | collect_alerts | Posted-at coverage: unknown=24
